id,name,control_type,feature_type,inactive,make,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1816791851,Able Long Park,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Able_Long_Park.jpg,Beechview,4,19,42003192000,5,19,6,4-28,40.40844046,-80.02833042
1599892422,Albert Turk Graham Park,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/Albert_Turk_Graham_Park.jpg,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,40.44045321,-79.98406376
1422043278,Allegheny Commons Arch St,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Allegheny_Commons_Arch_St.jpg,Allegheny Center,1,22,42003562700,1,22,1,1-7,40.45438959,-80.00828053
1237191582,Allegheny Commons East Tennis Courts,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Allegheny_Commons_East_Tennis_Courts.jpg,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.4508744,-80.00196176
1146184773,Allegheny Commons Pool,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Allegheny_Commons_Pool.jpg,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45100304,-80.00150158
1230448600,Alton Park,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Alton_Park.jpg,Beechview,4,19,42003191600,5,19,6,4-28,40.41427989,-80.0214566
887743707,Ammon Park Building,On/Off,Drinking Fountain,f,Murdock,https://tools.wprdc.org/images/pittsburgh/water_features/Ammon_Park_Building.jpg,Bedford Dwellings,6,5,42003050900,3,5,2,2-5,40.44928565,-79.97787062
1767127832,Ammon Park Spray,,Spray,f,,https://tools.wprdc.org/images/pittsburgh/water_features/Ammon_Park_Spray.jpg,Bedford Dwellings,6,5,42003050900,3,5,2,2-5,40.44915231,-79.97811065
354464900,Armstrong Park,On/Off,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Armstrong_Park.jpg,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42830003,-79.98619846
495479912,Armstrong Park Spray,Continuous,Spray,f,,https://tools.wprdc.org/images/pittsburgh/water_features/Armstrong_Park_Spray.jpg,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42818507,-79.98612686
1616218742,August Wilson Park,On/Off,Drinking Fountain,f,Murdock,https://tools.wprdc.org/images/pittsburgh/water_features/August_Wilson_Park.jpg,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,40.44659113,-79.98583935
778611148,Banksville Park,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Banksville_Park.jpg,Banksville,2,20,42003202300,5,20,6,4-9,40.41433129,-80.03993382
2022336,Banksville Pool,On/Off,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Banksville_Pool.jpg,Banksville,2,20,42003202300,5,20,6,4-9,40.41475735,-80.0402496
1397516664,Bloomfield Playground,On/Off,Drinking Fountain,f,Murdock,https://tools.wprdc.org/images/pittsburgh/water_features/Bloomfield_Playground.jpg,Bloomfield,7,8,42003080200,2,8,5,3-1,40.46229453,-79.95336878
1198549820,Bon Air Park,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/Bon_Air_Park.jpg,Bon Air,4,18,42003562400,5,18,3,4-7,40.40749913,-79.99953958
903065143,Boundary Street Park,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/Boundary_Street_Park.jpg,Central Oakland,3,4,42003040600,3,4,4,2-11,40.43858362,-79.9502933
1371255230,Brighton Heights 2,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Brighton_Heights_2.jpg,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.48683394,-80.03104613
675378423,Brighton Heights 3,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Brighton_Heights_3.jpg,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.48631684,-80.03014254
2077339333,Brighton Heights Pool,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Brighton_Heights_Pool.jpg,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.48690447,-80.03094868
967061988,Brookline Park,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/Brookline_Park.jpg,Brookline,4,32,42003320600,5,32,6,4-26,40.39137133,-80.00851013
1253116635,Brookline Park 2,On/Off,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Brookline_Park_2.jpg,Brookline,4,32,42003320600,5,32,6,4-26,40.39105907,-80.00823992
